sample_id,y_true,y_pred,y_proba,risk_level,top_positive_shap_features,top_negative_shap_features,note
4269,1,1,0.9994520545005798,Critical,ag_002: 1.0066; ck_000: 0.7202; aa_000: 0.6800; ag_001: 0.5712; ee_005: 0.4304; ci_000: 0.2726; dg_000: 0.2312; cb_000: 0.1947; ai_000: 0.1847; bc_000: 0.1741,,高风险 TP 样本：这些特征在模型评分层面推高风险。
12135,1,1,0.9994511008262634,Critical,ag_002: 1.0175; ck_000: 0.7513; aa_000: 0.7174; ag_001: 0.6583; ai_000: 0.4505; am_0: 0.3872; ee_005: 0.3806; ci_000: 0.3143; cj_000: 0.3139; aq_000: 0.2636,,高风险 TP 样本：这些特征在模型评分层面推高风险。
11539,1,1,0.9994099140167236,Critical,ag_002: 1.1550; ck_000: 0.7270; ag_001: 0.6198; aa_000: 0.5488; am_0: 0.4919; ai_000: 0.3975; al_000: 0.3964; ay_009: 0.3782; ee_005: 0.3676; cn_000: 0.3030,,高风险 TP 样本：这些特征在模型评分层面推高风险。
3295,1,1,0.9993817806243896,Critical,ag_002: 1.1781; ck_000: 0.7394; aa_000: 0.7010; ag_001: 0.6977; ai_000: 0.4476; am_0: 0.3820; cj_000: 0.3502; ee_005: 0.3406; al_000: 0.3206; ci_000: 0.2954,,高风险 TP 样本：这些特征在模型评分层面推高风险。
9276,1,1,0.999373733997345,Critical,ag_002: 1.0699; ck_000: 0.7246; aa_000: 0.6066; ag_001: 0.5797; ai_000: 0.4805; ay_006: 0.3799; ee_005: 0.3113; cn_000: 0.2630; cc_000: 0.2255; ay_009: 0.2155,,高风险 TP 样本：这些特征在模型评分层面推高风险。
14426,1,1,0.9993504881858826,Critical,ag_002: 1.0520; ck_000: 0.6860; ag_001: 0.6439; aa_000: 0.4959; am_0: 0.4287; ay_006: 0.4183; al_000: 0.4164; ai_000: 0.3868; ee_005: 0.3817; cj_000: 0.3310,,高风险 TP 样本：这些特征在模型评分层面推高风险。
10682,1,1,0.999345600605011,Critical,ag_002: 0.9810; ag_001: 0.7194; aa_000: 0.7038; ck_000: 0.6996; ai_000: 0.4770; ay_009: 0.4229; ee_005: 0.3782; am_0: 0.3199; cj_000: 0.2943; ci_000: 0.2772,,高风险 TP 样本：这些特征在模型评分层面推高风险。
13898,1,1,0.9993175268173218,Critical,ag_002: 1.2786; ag_001: 0.7446; ck_000: 0.7214; aa_000: 0.6042; ai_000: 0.4960; am_0: 0.4066; cj_000: 0.3930; ee_005: 0.3771; al_000: 0.3353; cn_000: 0.3300,,高风险 TP 样本：这些特征在模型评分层面推高风险。
13605,1,1,0.9992936849594116,Critical,ag_002: 1.0827; aa_000: 0.7675; ck_000: 0.6672; ag_001: 0.5566; ay_009: 0.4241; ay_006: 0.3603; ee_005: 0.2794; cn_000: 0.2366; ay_008: 0.2213; bd_000: 0.1999,,高风险 TP 样本：这些特征在模型评分层面推高风险。
2801,1,1,0.9992666840553284,Critical,ag_002: 1.0381; ck_000: 0.7534; aa_000: 0.7184; ag_001: 0.6056; ai_000: 0.5206; am_0: 0.3972; ee_005: 0.3459; al_000: 0.3290; ay_006: 0.3078; cn_000: 0.2857,,高风险 TP 样本：这些特征在模型评分层面推高风险。
1797,1,1,0.9992503523826599,Critical,ag_002: 0.9988; ck_000: 0.7307; ag_001: 0.5723; ay_006: 0.5030; aa_000: 0.5024; ai_000: 0.4676; ay_009: 0.4272; cn_000: 0.2286; am_0: 0.2144; bk_000: 0.2114,,高风险 TP 样本：这些特征在模型评分层面推高风险。
5978,1,1,0.9992457628250122,Critical,ag_002: 1.1160; ag_001: 0.7592; ck_000: 0.7192; aa_000: 0.5348; ai_000: 0.4789; ay_009: 0.4318; ay_006: 0.4036; ay_008: 0.2966; cn_000: 0.2796; ci_000: 0.2348,,高风险 TP 样本：这些特征在模型评分层面推高风险。
2285,1,1,0.9992337226867676,Critical,ag_002: 1.1098; ck_000: 0.7264; ag_001: 0.7123; aa_000: 0.6401; ai_000: 0.4081; am_0: 0.3545; ee_005: 0.3290; cj_000: 0.3138; cn_000: 0.2765; al_000: 0.2681,,高风险 TP 样本：这些特征在模型评分层面推高风险。
10562,1,1,0.999224066734314,Critical,ag_002: 1.0754; ck_000: 0.7050; ag_001: 0.5954; aa_000: 0.5681; ay_009: 0.4747; ay_006: 0.4544; ai_000: 0.3848; cj_000: 0.3379; az_002: 0.2424; ay_008: 0.2296,,高风险 TP 样本：这些特征在模型评分层面推高风险。
1567,1,1,0.99921715259552,Critical,ag_002: 1.0750; ck_000: 0.7718; ag_001: 0.6333; aa_000: 0.5112; ay_006: 0.4308; cn_000: 0.3723; ee_005: 0.3511; bk_000: 0.2160; cc_000: 0.1996; cl_000: 0.1940,,高风险 TP 样本：这些特征在模型评分层面推高风险。
12965,1,1,0.9991589784622192,Critical,ag_002: 1.0650; ck_000: 0.7306; aa_000: 0.6716; ag_001: 0.6423; ai_000: 0.4673; ay_006: 0.4290; am_0: 0.3655; cj_000: 0.3534; cn_000: 0.3145; ee_005: 0.2480,,高风险 TP 样本：这些特征在模型评分层面推高风险。
1278,1,1,0.9991375207901001,Critical,ag_002: 1.0506; ag_001: 0.7652; ck_000: 0.7033; aa_000: 0.5375; ai_000: 0.4695; cj_000: 0.4360; ee_005: 0.3451; ay_009: 0.3372; cn_000: 0.2099; ay_008: 0.2026,,高风险 TP 样本：这些特征在模型评分层面推高风险。
10938,1,1,0.9991372227668762,Critical,ag_002: 1.2567; ag_001: 0.6828; ck_000: 0.6487; ay_006: 0.5944; ai_000: 0.4863; cn_000: 0.4102; am_0: 0.3956; aa_000: 0.3920; cj_000: 0.3665; aq_000: 0.2512,,高风险 TP 样本：这些特征在模型评分层面推高风险。
729,1,1,0.999110758304596,Critical,ag_002: 1.0634; ck_000: 0.6997; ag_001: 0.6389; aa_000: 0.5382; ay_006: 0.4469; ay_009: 0.4122; ee_005: 0.3296; cn_000: 0.2995; cl_000: 0.2280; ay_008: 0.1850,,高风险 TP 样本：这些特征在模型评分层面推高风险。
6259,1,1,0.9990774393081665,Critical,ag_002: 1.0297; ck_000: 0.7330; aa_000: 0.6795; ag_001: 0.5931; ai_000: 0.4437; am_0: 0.3411; ay_006: 0.3397; al_000: 0.3090; ee_005: 0.2873; cn_000: 0.2597,,高风险 TP 样本：这些特征在模型评分层面推高风险。
2529,1,1,0.9990684390068054,Critical,ag_002: 1.1526; ag_001: 0.7093; ck_000: 0.6735; aa_000: 0.5574; ay_009: 0.5309; ai_000: 0.5127; cn_000: 0.4879; am_0: 0.4185; ee_005: 0.3654; ay_006: 0.3125,,高风险 TP 样本：这些特征在模型评分层面推高风险。
10841,1,1,0.999047577381134,Critical,ag_002: 0.9490; ag_001: 0.5626; aa_000: 0.5524; ck_000: 0.5193; ay_006: 0.4679; ai_000: 0.3755; cn_000: 0.3487; ee_005: 0.3448; ay_008: 0.2542; dg_000: 0.2439,,高风险 TP 样本：这些特征在模型评分层面推高风险。
5634,1,1,0.9990311861038208,Critical,ag_002: 1.0761; ck_000: 0.7314; ag_001: 0.6542; aa_000: 0.5480; ai_000: 0.4452; ay_006: 0.4288; ee_005: 0.3512; cj_000: 0.3135; cn_000: 0.2926; ay_009: 0.2628,,高风险 TP 样本：这些特征在模型评分层面推高风险。
7224,1,1,0.9990085959434509,Critical,ag_002: 1.0639; ag_001: 0.8913; ck_000: 0.7137; aa_000: 0.5955; ee_005: 0.3921; ay_006: 0.3732; ay_009: 0.3554; am_0: 0.3498; cn_000: 0.3094; ay_008: 0.2624,,高风险 TP 样本：这些特征在模型评分层面推高风险。
2779,1,1,0.9989903569221497,Critical,ag_002: 1.0539; ag_001: 0.7974; ck_000: 0.7164; aa_000: 0.5955; ai_000: 0.5143; ay_009: 0.4284; am_0: 0.3914; ee_005: 0.3187; ay_006: 0.2972; cn_000: 0.2827,,高风险 TP 样本：这些特征在模型评分层面推高风险。
3650,1,1,0.9989364743232727,Critical,ag_002: 1.2121; ag_001: 0.6445; ck_000: 0.6346; ai_000: 0.5573; aa_000: 0.4918; cn_000: 0.4793; ay_006: 0.4531; ay_009: 0.3797; dg_000: 0.2475; ay_008: 0.2307,,高风险 TP 样本：这些特征在模型评分层面推高风险。
11022,1,1,0.9989221096038818,Critical,ag_002: 1.1292; aa_000: 0.6717; ck_000: 0.6690; ag_001: 0.6004; ai_000: 0.4867; al_000: 0.3572; ee_005: 0.3528; cn_000: 0.3463; ay_006: 0.3449; ci_000: 0.2364,,高风险 TP 样本：这些特征在模型评分层面推高风险。
2532,1,1,0.998908281326294,Critical,ag_002: 1.0936; ag_001: 0.7192; ck_000: 0.6638; aa_000: 0.5513; ay_009: 0.5124; ai_000: 0.4909; ee_005: 0.3407; am_0: 0.3245; ay_006: 0.2798; cn_000: 0.2659,,高风险 TP 样本：这些特征在模型评分层面推高风险。
9941,1,1,0.9988589286804199,Critical,ag_002: 1.1205; ag_001: 0.8368; ck_000: 0.8023; aa_000: 0.5750; ay_009: 0.4520; ai_000: 0.4244; cn_000: 0.4143; ee_005: 0.3629; ay_006: 0.3591; bs_000: 0.2964,,高风险 TP 样本：这些特征在模型评分层面推高风险。
15417,1,1,0.9988418221473694,Critical,ag_002: 0.9417; ck_000: 0.7416; aa_000: 0.6969; ag_001: 0.6446; ai_000: 0.4877; ay_009: 0.4506; ee_005: 0.3449; am_0: 0.3378; ci_000: 0.3126; cn_000: 0.2505,,高风险 TP 样本：这些特征在模型评分层面推高风险。
12471,1,1,0.9988211989402771,Critical,ag_002: 1.0968; ck_000: 0.7674; ag_001: 0.7492; aa_000: 0.6553; ee_005: 0.3971; dg_000: 0.2421; ai_000: 0.2414; cn_000: 0.2400; cc_000: 0.1902; cs_002: 0.1727,,高风险 TP 样本：这些特征在模型评分层面推高风险。
9419,1,1,0.9987943172454834,Critical,ck_000: 0.6985; ag_002: 0.6032; aa_000: 0.5528; am_0: 0.4504; cj_000: 0.4166; ay_006: 0.3944; al_000: 0.3635; ee_005: 0.3391; cn_000: 0.2993; ee_007: 0.2252,,高风险 TP 样本：这些特征在模型评分层面推高风险。
9622,1,1,0.998783528804779,Critical,ag_002: 1.0873; ck_000: 0.7454; aa_000: 0.7079; ag_001: 0.6569; ai_000: 0.4103; am_0: 0.3891; cj_000: 0.3098; ci_000: 0.2917; al_000: 0.2774; ee_005: 0.2692,,高风险 TP 样本：这些特征在模型评分层面推高风险。
12232,1,1,0.9987633228302002,Critical,ag_002: 1.1228; ck_000: 0.7313; ay_006: 0.6158; ag_001: 0.5823; aa_000: 0.5701; ay_009: 0.5238; cn_000: 0.4217; bs_000: 0.2759; dg_000: 0.2634; cj_000: 0.2410,,高风险 TP 样本：这些特征在模型评分层面推高风险。
9582,1,1,0.9987140893936157,Critical,ag_002: 0.9612; aa_000: 0.7366; ck_000: 0.7326; ag_001: 0.6749; ai_000: 0.4998; am_0: 0.4238; ee_005: 0.3590; al_000: 0.2988; cn_000: 0.2819; cs_002: 0.2288,,高风险 TP 样本：这些特征在模型评分层面推高风险。
13665,1,1,0.9986658096313477,Critical,ag_002: 1.1329; ck_000: 0.7232; ag_001: 0.6681; ai_000: 0.5230; aa_000: 0.4264; cn_000: 0.4100; ee_005: 0.3856; cs_002: 0.2157; ay_008: 0.2094; bk_000: 0.1902,,高风险 TP 样本：这些特征在模型评分层面推高风险。
13330,1,1,0.9986045956611633,Critical,ag_002: 1.1212; ck_000: 0.7439; aa_000: 0.6624; ag_001: 0.6360; ai_000: 0.3678; ee_005: 0.3380; cn_000: 0.2910; ci_000: 0.2162; cb_000: 0.2137; cs_002: 0.1868,,高风险 TP 样本：这些特征在模型评分层面推高风险。
9373,1,1,0.9985802173614502,Critical,ag_002: 0.9789; ag_001: 0.7750; ck_000: 0.6956; aa_000: 0.5561; ai_000: 0.5308; am_0: 0.3902; ee_005: 0.3893; ay_006: 0.3398; ay_009: 0.2686; az_002: 0.2517,,高风险 TP 样本：这些特征在模型评分层面推高风险。
1162,1,1,0.9985130429267883,Critical,ag_002: 1.0876; ck_000: 0.7831; aa_000: 0.7154; ag_001: 0.6592; ay_009: 0.4261; am_0: 0.4191; ai_000: 0.4121; ee_005: 0.3407; cn_000: 0.3119; ci_000: 0.3007,,高风险 TP 样本：这些特征在模型评分层面推高风险。
8167,1,1,0.9984633922576904,Critical,ag_002: 1.0412; ck_000: 0.7881; ag_001: 0.6007; ai_000: 0.5778; cn_000: 0.4604; aa_000: 0.4547; am_0: 0.4242; ee_005: 0.3637; bs_000: 0.2767; cs_002: 0.2167,,高风险 TP 样本：这些特征在模型评分层面推高风险。
