prefix,feature_count,signal_score,drift_risk_score,avg_missing_rate,avg_zero_rate,avg_abs_pos_neg_missing_diff,avg_abs_pos_neg_zero_diff,avg_abs_skew,recommendation
da,1,0.5423786063328938,0.3720614791746112,0.2296041666666666,0.761125,0.3054872881355932,0.3024152542372881,60.82283501493471,单字段前缀，不适合作为前缀聚合主线
ea,1,0.5407967629773041,0.25948866052788067,0.0452083333333333,0.9424166666666668,0.3328389830508474,0.3316949152542373,46.85113822174728,单字段前缀，不适合作为前缀聚合主线
ai,1,0.5397095986696498,0.3493046625406589,0.0106875,0.8936458333333334,0.0323516949152542,0.6494703389830508,47.32186174614665,单字段前缀，不适合作为前缀聚合主线
ae,1,0.5347149369994674,0.2164770039837139,0.041375,0.9259583333333332,0.2998728813559322,0.2819067796610168,85.1845653891604,单字段前缀，不适合作为前缀聚合主线
af,1,0.5153180358717171,0.26587066151608224,0.041375,0.9248541666666666,0.2998728813559322,0.2807838983050846,51.56277034220359,单字段前缀，不适合作为前缀聚合主线
cf,1,0.4884603667115524,0.24448272834913592,0.2472916666666666,0.3580625,0.4044491525423729,0.151843220338983,190.07893055226555,单字段前缀，不适合作为前缀聚合主线
dq,1,0.4842191366769697,0.707478661756817,0.0452291666666666,0.7393541666666666,0.3328177966101694,0.3145974576271186,35.56247677092573,单字段前缀，不适合作为前缀聚合主线
co,1,0.466960127314925,0.3331632230603341,0.2472916666666666,0.2138125,0.4044491525423729,0.1767584745762711,190.07892933342728,单字段前缀，不适合作为前缀聚合主线
dr,1,0.4439058046375025,0.6071779173148464,0.04525,0.7370833333333333,0.3327966101694915,0.3122881355932204,12.079044316021028,单字段前缀，不适合作为前缀聚合主线
al,1,0.43994753718657736,0.38874050111498865,0.0108125,0.6269166666666667,0.0322245762711864,0.558728813559322,29.21969282876962,单字段前缀，不适合作为前缀聚合主线
am,1,0.43774698673438506,0.4447095521775533,0.0106875,0.6237916666666666,0.0323516949152542,0.5568220338983051,28.447765290814893,单字段前缀，不适合作为前缀聚合主线
br,1,0.4276462218412414,0.1032388663967618,0.821625,0.030625,0.7414830508474576,0.0260593220338983,0.4228517323437621,单字段前缀，不适合作为前缀聚合主线
bq,1,0.42615301400649264,0.16599190283400594,0.8130208333333333,0.0294375,0.7365466101694915,0.0248516949152542,0.5211966215559031,单字段前缀，不适合作为前缀聚合主线
bp,1,0.42199669043621435,0.16396761133602372,0.79675,0.0273125,0.7250847457627119,0.0239618644067796,0.6720288362037826,单字段前缀，不适合作为前缀聚合主线
dy,1,0.41660572067295193,0.5191545007717722,0.0452083333333333,0.6033333333333334,0.3328389830508474,0.2436440677966102,21.63637708168549,单字段前缀，不适合作为前缀聚合主线
bo,1,0.41545433347185073,0.03643724696356299,0.773875,0.025375,0.706906779661017,0.0245338983050847,0.8643112342608666,单字段前缀，不适合作为前缀聚合主线
dx,1,0.4149340036887466,0.6449760566258596,0.0452083333333333,0.6583958333333333,0.3328389830508474,0.284385593220339,10.631171827984629,单字段前缀，不适合作为前缀聚合主线
at,1,0.41473387300402376,0.3208992869466659,0.0106875,0.8898541666666666,0.0323516949152542,0.2197669491525424,58.800910407724245,单字段前缀，不适合作为前缀聚合主线
aj,1,0.41305624433051574,0.17639652444201784,0.0106875,0.7817708333333333,0.0323516949152542,0.2484110169491525,79.59012466876844,单字段前缀，不适合作为前缀聚合主线
cl,1,0.41127774005131457,0.7410687886796925,0.15875,0.6145416666666667,0.0762711864406779,0.366906779661017,19.385946351273724,单字段前缀，不适合作为前缀聚合主线
au,1,0.4097810278487411,0.04858299595141732,0.0106875,0.98825,0.0323516949152542,0.0579661016949152,114.22724740527858,单字段前缀，不适合作为前缀聚合主线
eb,1,0.4088547476759608,0.6578947368421063,0.06675,0.3569166666666666,0.4583898305084745,0.3095762711864407,13.360200984685225,单字段前缀，不适合作为前缀聚合主线
db,1,0.4028244493668815,0.3060805627409631,0.2296041666666666,0.4619375,0.3054872881355932,0.0083262711864406,82.65549403420879,单字段前缀，不适合作为前缀聚合主线
bn,1,0.4012324834060572,0.3279352226720669,0.7354375,0.0240208333333333,0.6703601694915254,0.0244279661016949,1.1426777017951728,单字段前缀，不适合作为前缀聚合主线
as,1,0.40082332265948406,0.04858299595141732,0.0106875,0.9889375,0.0323516949152542,0.0370550847457626,106.45965241019088,单字段前缀，不适合作为前缀聚合主线
bf,1,0.3955723174984881,0.3174270549105913,0.041375,0.4213958333333333,0.2998728813559322,0.2658262711864406,36.04514874584972,单字段前缀，不适合作为前缀聚合主线
bc,1,0.39264130929240276,0.4018116170130963,0.0452291666666666,0.3209375,0.3328177966101694,0.2628177966101695,45.29559611637335,单字段前缀，不适合作为前缀聚合主线
ad,1,0.377442793419022,0.3124285288879176,0.2472916666666666,0.0332916666666666,0.4044491525423729,0.0046186440677966,190.07892904887584,单字段前缀，不适合作为前缀聚合主线
cr,1,0.37652761728426454,0.1174089068825789,0.7714791666666667,0.2272916666666666,0.0040466101694915,0.0048728813559321,38.705208255662654,单字段前缀，不适合作为前缀聚合主线
bm,1,0.36935575276420013,0.21862348178137792,0.661375,0.0206875,0.5975847457627119,0.0210381355932203,1.609118987237818,单字段前缀，不适合作为前缀聚合主线
ab,1,0.36390161738911403,0.15065009534668108,0.7714791666666667,0.1835416666666666,0.0040466101694915,0.0252118644067796,29.50106053404505,单字段前缀，不适合作为前缀聚合主线
cz,1,0.35125565952089366,0.5687796504431885,0.2296041666666666,0.1528125,0.3054872881355932,0.0981991525423728,52.91311711268808,单字段前缀，不适合作为前缀聚合主线
cj,1,0.32891628815758545,0.40721610070053677,0.0059791666666666,0.7849583333333333,0.0053601694915254,0.1575847457627118,21.61293048258332,单字段前缀，不适合作为前缀聚合主线
ag,10,0.32546357528867725,0.48261189956234773,0.0109583333333333,0.5116645833333333,0.0060593220338983,0.22660805084745758,47.63801402534118,组内信号一般，可作为前缀聚合备选
ct,1,0.32325593195386554,0.4504625979527218,0.2296041666666666,0.0364791666666666,0.3054872881355932,0.0002330508474576,104.87065244924035,单字段前缀，不适合作为前缀聚合主线
bz,1,0.3226774696797614,0.6017085934529459,0.0452083333333333,0.2308958333333333,0.3328389830508474,0.1941313559322033,19.72420420232097,单字段前缀，不适合作为前缀聚合主线
ay,10,0.32072265703277125,0.508257202384906,0.0109375,0.68091875,0.0060381355932203,0.08612076271186435,53.4565605267767,组内信号一般，可作为前缀聚合备选
cm,1,0.3197585915725468,0.4482653472634362,0.1644166666666666,0.4034375,0.1378813559322033,0.1712923728813559,16.148171824565207,单字段前缀，不适合作为前缀聚合主线
cg,1,0.31472090419829224,0.2758864761079527,0.2472916666666666,0.0486666666666666,0.4044491525423729,0.0164406779661016,29.818604824826117,单字段前缀，不适合作为前缀聚合主线
cp,1,0.29761383140830616,0.4358495008033896,0.0452083333333333,0.1577083333333333,0.3328389830508474,0.0811440677966101,38.471453649769295,单字段前缀，不适合作为前缀聚合主线
do,1,0.2936079609092407,0.5487422120512895,0.0452083333333333,0.2214166666666666,0.3328389830508474,0.1933898305084745,9.218322888010396,单字段前缀，不适合作为前缀聚合主线
cu,1,0.2915322890142041,0.4596970786571342,0.2296041666666666,0.0362291666666666,0.3054872881355932,0.0051059322033898,43.29908570940176,单字段前缀，不适合作为前缀聚合主线
be,1,0.2835360851865417,0.35946494573135707,0.0413958333333333,0.1161458333333333,0.2998516949152542,0.0888771186440678,40.351920207154045,单字段前缀，不适合作为前缀聚合主线
dp,1,0.28116801243051764,0.4986340460570017,0.0452291666666666,0.2127291666666666,0.3328177966101694,0.1845550847457627,7.2902414125419375,单字段前缀，不适合作为前缀聚合主线
av,1,0.2792385479751248,0.38975000540584226,0.0413958333333333,0.1655625,0.2998516949152542,0.0172245762711864,49.717820615468575,单字段前缀，不适合作为前缀聚合主线
bl,1,0.27290971218496574,0.338056680161939,0.4551041666666666,0.0173333333333333,0.3916313559322034,0.0176271186440677,2.4871667302150278,单字段前缀，不适合作为前缀聚合主线
cn,10,0.26530336053927817,0.4814336979098275,0.0112291666666666,0.32772291666666664,0.006334745762711801,0.20488347457627115,30.607856722930343,组内信号一般，可作为前缀聚合备选
ce,1,0.25539417584607493,0.4648991090020905,0.0414375,0.1966041666666666,0.2998093220338983,0.1293008474576271,8.288403637061782,单字段前缀，不适合作为前缀聚合主线
ax,1,0.2507388872797394,0.24499937753707562,0.0414166666666666,0.1693333333333333,0.2998305084745762,0.0159322033898305,22.76512078521224,单字段前缀，不适合作为前缀聚合主线
bd,1,0.24901194405856675,0.44526481219597586,0.04525,0.0668125,0.3327966101694915,0.039978813559322,23.900236472380488,单字段前缀，不适合作为前缀聚合主线
de,1,0.24701562965496623,0.4313283811482571,0.0452291666666666,0.01425,0.3328177966101694,0.0071186440677966,39.74668844885903,单字段前缀，不适合作为前缀聚合主线
az,10,0.2449502026560415,0.49594237739965885,0.0109375,0.2880604166666666,0.0060381355932203,0.08606991525423725,59.00422656813553,组内信号一般，可作为前缀聚合备选
cx,1,0.24230247978830088,0.6131810850434265,0.2296041666666666,0.0274791666666666,0.3054872881355932,0.0101906779661016,11.223639686652696,单字段前缀，不适合作为前缀聚合主线
bk,1,0.23994824880155363,0.3299595141700394,0.3842708333333333,0.008625,0.3234110169491525,0.0087711864406779,3.209742288668446,单字段前缀，不适合作为前缀聚合主线
dv,1,0.22834019155658752,0.6749968314655226,0.04525,0.0541666666666666,0.3327966101694915,0.0207627118644067,17.07530777352009,单字段前缀，不适合作为前缀聚合主线
dc,1,0.2272397537159027,0.6529290756842939,0.2296041666666666,0.0169375,0.3054872881355932,0.0158262711864406,7.31603559368608,单字段前缀，不适合作为前缀聚合主线
cv,1,0.2262553087316034,0.6795465681203117,0.2296041666666666,0.0169375,0.3054872881355932,0.0158262711864406,7.1037810194181965,单字段前缀，不适合作为前缀聚合主线
cs,10,0.2067339044111911,0.482826318498909,0.0109166666666666,0.13944999999999996,0.0060169491525423,0.05585593220338979,60.8494421601907,组内信号一般，可作为前缀聚合备选
du,1,0.20248402286250727,0.7217118864325168,0.04525,0.0542083333333333,0.3327966101694915,0.0208050847457627,8.160594106314283,单字段前缀，不适合作为前缀聚合主线
dd,1,0.19640386565215665,0.4167566853254334,0.0414375,0.0143125,0.2998093220338983,0.0108686440677966,12.53864940843424,单字段前缀，不适合作为前缀聚合主线
ac,1,0.19537783684045468,0.27008329372726164,0.0554375,0.144875,0.4101483050847457,0.0100423728813559,1.7750299004504675,单字段前缀，不适合作为前缀聚合主线
ds,1,0.19475720254477275,0.5994511528033473,0.04525,0.0436041666666666,0.3327966101694915,0.0163771186440678,7.199830433166296,单字段前缀，不适合作为前缀聚合主线
dt,1,0.19242846510041736,0.5210547808813142,0.04525,0.0417291666666666,0.3327966101694915,0.0144703389830508,6.911624659844905,单字段前缀，不适合作为前缀聚合主线
ec,1,0.18302638801241475,0.716958585502125,0.1703958333333333,0.0210208333333333,0.1457838983050847,0.023114406779661,9.872356804906907,单字段前缀，不适合作为前缀聚合主线
ed,1,0.17741044504095535,0.6848184265213819,0.15875,0.0235833333333333,0.0762711864406779,0.0866101694915254,8.76173376502944,单字段前缀，不适合作为前缀聚合主线
ba,10,0.17488855059125502,0.47844407443603504,0.01125,0.13582499999999997,0.0063559322033898,0.0953474576271186,18.76006274595005,组内信号一般，可作为前缀聚合备选
ca,1,0.16351190173931118,0.2977527637274364,0.0725416666666666,0.0019583333333333,0.4575847457627118,0.004364406779661,0.7218153930724435,单字段前缀，不适合作为前缀聚合主线
ee,10,0.15010194738400529,0.5020026448777828,0.0109375,0.11861874999999997,0.0060381355932203,0.048230932203389795,15.599665286110206,组内信号一般，可作为前缀聚合备选
cc,1,0.10607554641641818,0.47979685000947375,0.0542708333333333,0.0143333333333333,0.0259533898305084,0.0222881355932203,6.379517459694839,单字段前缀，不适合作为前缀聚合主线
bj,1,0.10279060840483442,0.4299885809674733,0.0101041666666666,0.0024791666666666,0.0304025423728813,0.0038347457627118,9.756211119575724,单字段前缀，不适合作为前缀聚合主线
bi,1,0.10136535261118165,0.3852959125804602,0.0101041666666666,0.0020625,0.0304025423728813,0.0042584745762711,9.348456614809828,单字段前缀，不适合作为前缀聚合主线
dn,1,0.09953915994494918,0.36701193363032236,0.0115625,0.0019166666666666,0.0314618644067796,0.0044067796610169,8.695123119876461,单字段前缀，不适合作为前缀聚合主线
ap,1,0.09645288230017691,0.46084080864549515,0.0108125,0.0020208333333333,0.0322245762711864,0.0043008474576271,7.937553743304218,单字段前缀，不适合作为前缀聚合主线
bx,1,0.09629404099690113,0.4589708194269961,0.0543125,0.0,0.0259957627118644,0.0,6.371602074610056,单字段前缀，不适合作为前缀聚合主线
aq,1,0.09603137713689679,0.4074765843647004,0.0101041666666666,0.004,0.0304025423728813,0.0035593220338983,7.954108319373971,单字段前缀，不适合作为前缀聚合主线
by,1,0.09427152759180926,0.4154209949088689,0.0077708333333333,0.0201041666666666,0.0066313559322033,0.0240466101694915,6.988278567348657,单字段前缀，不适合作为前缀聚合主线
ck,1,0.09170020488955835,0.4504369335775006,0.0059791666666666,0.0032083333333333,0.0053601694915254,0.0032627118644067,8.862473110319005,单字段前缀，不适合作为前缀聚合主线
bh,1,0.09147875239038132,0.3698017110619809,0.0108125,0.0023125,0.0322245762711864,0.0040042372881355,6.849688902587179,单字段前缀，不适合作为前缀聚合主线
bu,1,0.08688224664698771,0.49940770749745156,0.0115625,0.0019166666666666,0.0314618644067796,0.0044067796610169,5.953248733802761,单字段前缀，不适合作为前缀聚合主线
cq,1,0.08688224465786615,0.49940770749745156,0.0115625,0.0019166666666666,0.0314618644067796,0.0044067796610169,5.953248370556986,单字段前缀，不适合作为前缀聚合主线
bv,1,0.0868822438360338,0.49940770749745156,0.0115625,0.0019166666666666,0.0314618644067796,0.0044067796610169,5.953248220477111,单字段前缀，不适合作为前缀聚合主线
bb,1,0.0868661069533055,0.47485749873487043,0.010875,0.0019166666666666,0.0321610169491525,0.0044067796610169,5.946427603123681,单字段前缀，不适合作为前缀聚合主线
ao,1,0.085397983767081,0.45168150686213626,0.0101041666666666,0.0025,0.0304025423728813,0.0050847457627118,5.742785522255942,单字段前缀，不适合作为前缀聚合主线
an,1,0.08512265255134735,0.4775025282591954,0.0108125,0.0023125,0.0322245762711864,0.0040042372881355,5.642848741169489,单字段前缀，不适合作为前缀聚合主线
bg,1,0.08490493637927157,0.4678462061938409,0.0108125,0.0023958333333333,0.0322245762711864,0.0039194915254237,5.6065771988337385,单字段前缀，不适合作为前缀聚合主线
ah,1,0.08490162738654608,0.449570663963979,0.010875,0.0023958333333333,0.0321610169491525,0.0039194915254237,5.606337946709503,单字段前缀，不适合作为前缀聚合主线
bt,1,0.07954995544422928,0.4348351636242312,0.0026458333333333,0.0023125,0.0100211864406779,0.0023516949152542,6.171015168874105,单字段前缀，不适合作为前缀聚合主线
ci,1,0.07827951352675,0.514406417614456,0.0059791666666666,0.0037083333333333,0.0053601694915254,0.0037711864406779,5.886034994905268,单字段前缀，不适合作为前缀聚合主线
aa,1,0.07714652768702698,0.34781309236522395,0.0,0.0064791666666666,0.0,0.0027754237288135,6.1654601256034,单字段前缀，不适合作为前缀聚合主线
bs,1,0.056396072321756904,0.32678486693939884,0.0121666666666666,0.0021458333333333,0.0346610169491525,0.0041737288135593,2.0425003905471835,单字段前缀，不适合作为前缀聚合主线
cb,1,0.03343244405340185,0.2750044574420316,0.0121666666666666,0.0019583333333333,0.0346610169491525,0.004364406779661,0.663676184108073,单字段前缀，不适合作为前缀聚合主线
cd,1,0.011650053907146787,0.020242914979753977,0.0113541666666666,0.0,0.0329449152542372,0.0,0.0,单字段前缀，不适合作为前缀聚合主线
