diagnostic_type,rank,feature_name,metric_value,notes
top_pos_neg_missing_diff_features,14,dg_000,0.4583686440677966,基于 train_inner 中 pos/neg 缺失率差异排序
top_pos_neg_missing_diff_features,15,dm_000,0.4583686440677966,基于 train_inner 中 pos/neg 缺失率差异排序
top_pos_neg_missing_diff_features,16,ak_000,0.45800847457627125,基于 train_inner 中 pos/neg 缺失率差异排序
top_pos_neg_missing_diff_features,17,ca_000,0.4575847457627118,基于 train_inner 中 pos/neg 缺失率差异排序
top_pos_neg_missing_diff_features,18,ac_000,0.41014830508474576,基于 train_inner 中 pos/neg 缺失率差异排序
top_pos_neg_missing_diff_features,19,ad_000,0.4044491525423729,基于 train_inner 中 pos/neg 缺失率差异排序
top_pos_neg_missing_diff_features,20,co_000,0.4044491525423729,基于 train_inner 中 pos/neg 缺失率差异排序
top_pos_neg_zero_diff_features,1,ai_000,0.6494703389830508,基于 train_inner 中 pos/neg 零值率差异排序
top_pos_neg_zero_diff_features,2,al_000,0.558728813559322,基于 train_inner 中 pos/neg 零值率差异排序
top_pos_neg_zero_diff_features,3,ag_003,0.5571822033898305,基于 train_inner 中 pos/neg 零值率差异排序
top_pos_neg_zero_diff_features,4,am_0,0.5568220338983051,基于 train_inner 中 pos/neg 零值率差异排序
top_pos_neg_zero_diff_features,5,ar_000,0.5283686440677966,基于 train_inner 中 pos/neg 零值率差异排序
top_pos_neg_zero_diff_features,6,cn_001,0.5151059322033897,基于 train_inner 中 pos/neg 零值率差异排序
top_pos_neg_zero_diff_features,7,df_000,0.4990677966101695,基于 train_inner 中 pos/neg 零值率差异排序
top_pos_neg_zero_diff_features,8,dg_000,0.4941949152542373,基于 train_inner 中 pos/neg 零值率差异排序
top_pos_neg_zero_diff_features,9,ag_002,0.4893008474576271,基于 train_inner 中 pos/neg 零值率差异排序
top_pos_neg_zero_diff_features,10,ak_000,0.4823305084745763,基于 train_inner 中 pos/neg 零值率差异排序
top_pos_neg_zero_diff_features,11,dh_000,0.4719703389830509,基于 train_inner 中 pos/neg 零值率差异排序
top_pos_neg_zero_diff_features,12,dk_000,0.45826271186440676,基于 train_inner 中 pos/neg 零值率差异排序
top_pos_neg_zero_diff_features,13,dj_000,0.4577966101694916,基于 train_inner 中 pos/neg 零值率差异排序
top_pos_neg_zero_diff_features,14,dl_000,0.4545974576271186,基于 train_inner 中 pos/neg 零值率差异排序
top_pos_neg_zero_diff_features,15,dm_000,0.45398305084745766,基于 train_inner 中 pos/neg 零值率差异排序
top_pos_neg_zero_diff_features,16,cn_002,0.44389830508474576,基于 train_inner 中 pos/neg 零值率差异排序
top_pos_neg_zero_diff_features,17,di_000,0.439385593220339,基于 train_inner 中 pos/neg 零值率差异排序
top_pos_neg_zero_diff_features,18,cn_000,0.4373728813559322,基于 train_inner 中 pos/neg 零值率差异排序
top_pos_neg_zero_diff_features,19,ba_009,0.43275423728813556,基于 train_inner 中 pos/neg 零值率差异排序
top_pos_neg_zero_diff_features,20,ch_000,0.40555084745762715,基于 train_inner 中 pos/neg 零值率差异排序
top_train_test_drift_features,1,ay_000,1.0,综合 train/test 缺失率、median 和 p99 相对差异排序，仅用于观察泛化风险
top_train_test_drift_features,2,ay_009,1.0,综合 train/test 缺失率、median 和 p99 相对差异排序，仅用于观察泛化风险
top_train_test_drift_features,3,ag_001,0.8377280130293167,综合 train/test 缺失率、median 和 p99 相对差异排序，仅用于观察泛化风险
top_train_test_drift_features,4,da_000,0.5970272502063763,综合 train/test 缺失率、median 和 p99 相对差异排序，仅用于观察泛化风险
top_train_test_drift_features,5,cl_000,0.5785859020017284,综合 train/test 缺失率、median 和 p99 相对差异排序，仅用于观察泛化风险
top_train_test_drift_features,6,cn_000,0.5102775323527857,综合 train/test 缺失率、median 和 p99 相对差异排序，仅用于观察泛化风险
top_train_test_drift_features,7,ag_002,0.4095380315651113,综合 train/test 缺失率、median 和 p99 相对差异排序，仅用于观察泛化风险
top_train_test_drift_features,8,cy_000,0.3491179734435422,综合 train/test 缺失率、median 和 p99 相对差异排序，仅用于观察泛化风险
top_train_test_drift_features,9,az_008,0.3285524030465339,综合 train/test 缺失率、median 和 p99 相对差异排序，仅用于观察泛化风险
top_train_test_drift_features,10,cn_009,0.2820828781817909,综合 train/test 缺失率、median 和 p99 相对差异排序，仅用于观察泛化风险
top_train_test_drift_features,11,cn_001,0.25643584377259515,综合 train/test 缺失率、median 和 p99 相对差异排序，仅用于观察泛化风险
top_train_test_drift_features,12,ee_005,0.251192012991252,综合 train/test 缺失率、median 和 p99 相对差异排序，仅用于观察泛化风险
top_train_test_drift_features,13,cm_000,0.25,综合 train/test 缺失率、median 和 p99 相对差异排序，仅用于观察泛化风险
top_train_test_drift_features,14,ea_000,0.23954372623551,综合 train/test 缺失率、median 和 p99 相对差异排序，仅用于观察泛化风险
top_train_test_drift_features,15,ab_000,0.2,综合 train/test 缺失率、median 和 p99 相对差异排序，仅用于观察泛化风险
top_train_test_drift_features,16,ag_003,0.1952925396392088,综合 train/test 缺失率、median 和 p99 相对差异排序，仅用于观察泛化风险
top_train_test_drift_features,17,ba_007,0.18567874911158494,综合 train/test 缺失率、median 和 p99 相对差异排序，仅用于观察泛化风险
top_train_test_drift_features,18,am_0,0.18256454912595374,综合 train/test 缺失率、median 和 p99 相对差异排序，仅用于观察泛化风险
top_train_test_drift_features,19,ay_006,0.17842278562544767,综合 train/test 缺失率、median 和 p99 相对差异排序，仅用于观察泛化风险
top_train_test_drift_features,20,dv_000,0.17436773902714273,综合 train/test 缺失率、median 和 p99 相对差异排序，仅用于观察泛化风险
