prefix,feature_count,feature_names,avg_missing_rate,median_missing_rate,max_missing_rate,high_missing_feature_count_50,high_missing_feature_count_80,avg_zero_rate,median_zero_rate,max_zero_rate,high_zero_feature_count_50,high_zero_feature_count_90,avg_abs_pos_neg_missing_diff,max_abs_pos_neg_missing_diff,avg_abs_pos_neg_zero_diff,max_abs_pos_neg_zero_diff,avg_abs_skew,max_abs_skew,avg_train_test_missing_diff,max_train_test_missing_diff,avg_train_test_p99_diff,max_train_test_p99_diff
ad,1,ad_000,0.2472916666666666,0.2472916666666666,0.2472916666666666,0,0,0.0332916666666666,0.0332916666666666,0.0332916666666666,0,0,0.4044491525423729,0.4044491525423729,0.0046186440677966,0.0046186440677966,190.07892904887584,190.07892904887584,0.0015208333333333,0.0015208333333333,229.86000000000055,229.86000000000055
ae,1,ae_000,0.041375,0.041375,0.041375,0,0,0.9259583333333332,0.9259583333333332,0.9259583333333332,1,1,0.2998728813559322,0.2998728813559322,0.2819067796610168,0.2819067796610168,85.1845653891604,85.1845653891604,0.0017499999999999,0.0017499999999999,3.639999999999418,3.639999999999418
af,1,af_000,0.041375,0.041375,0.041375,0,0,0.9248541666666666,0.9248541666666666,0.9248541666666666,1,1,0.2998728813559322,0.2998728813559322,0.2807838983050846,0.2807838983050846,51.56277034220359,51.56277034220359,0.0017499999999999,0.0017499999999999,22.739999999997963,22.739999999997963
ah,1,ah_000,0.010875,0.010875,0.010875,0,0,0.0023958333333333,0.0023958333333333,0.0023958333333333,0,0,0.0321610169491525,0.0321610169491525,0.0039194915254237,0.0039194915254237,5.606337946709503,5.606337946709503,6.250000000000006e-05,6.250000000000006e-05,2320937.059999913,2320937.059999913
ai,1,ai_000,0.0106875,0.0106875,0.0106875,0,0,0.8936458333333334,0.8936458333333334,0.8936458333333334,1,0,0.0323516949152542,0.0323516949152542,0.6494703389830508,0.6494703389830508,47.32186174614665,47.32186174614665,0.0005,0.0005,20717.24000000008,20717.24000000008
aj,1,aj_000,0.0106875,0.0106875,0.0106875,0,0,0.7817708333333333,0.7817708333333333,0.7817708333333333,1,0,0.0323516949152542,0.0323516949152542,0.2484110169491525,0.2484110169491525,79.59012466876844,79.59012466876844,0.0005,0.0005,67.31999999997788,67.31999999997788
ak,1,ak_000,0.073375,0.073375,0.073375,0,0,0.9205416666666668,0.9205416666666668,0.9205416666666668,1,1,0.4580084745762712,0.4580084745762712,0.4823305084745763,0.4823305084745763,104.26416534158558,104.26416534158558,0.0015,0.0015,0.0,0.0
al,1,al_000,0.0108125,0.0108125,0.0108125,0,0,0.6269166666666667,0.6269166666666667,0.6269166666666667,1,0,0.0322245762711864,0.0322245762711864,0.558728813559322,0.558728813559322,29.21969282876962,29.21969282876962,0.0002499999999999,0.0002499999999999,170235.00000000093,170235.00000000093
am,1,am_0,0.0106875,0.0106875,0.0106875,0,0,0.6237916666666666,0.6237916666666666,0.6237916666666666,1,0,0.0323516949152542,0.0323516949152542,0.5568220338983051,0.5568220338983051,28.447765290814893,28.447765290814893,0.0005,0.0005,484985.1199999764,484985.1199999764
an,1,an_000,0.0108125,0.0108125,0.0108125,0,0,0.0023125,0.0023125,0.0023125,0,0,0.0322245762711864,0.0322245762711864,0.0040042372881355,0.0040042372881355,5.642848741169489,5.642848741169489,0.0002499999999999,0.0002499999999999,3199489.0000002235,3199489.0000002235
ao,1,ao_000,0.0101041666666666,0.0101041666666666,0.0101041666666666,0,0,0.0025,0.0025,0.0025,0,0,0.0304025423728813,0.0304025423728813,0.0050847457627118,0.0050847457627118,5.742785522255942,5.742785522255942,2.083333333333451e-05,2.083333333333451e-05,2844929.95999977,2844929.95999977
ap,1,ap_000,0.0108125,0.0108125,0.0108125,0,0,0.0020208333333333,0.0020208333333333,0.0020208333333333,0,0,0.0322245762711864,0.0322245762711864,0.0043008474576271,0.0043008474576271,7.937553743304218,7.937553743304218,0.0002499999999999,0.0002499999999999,1844716.400000084,1844716.400000084
aq,1,aq_000,0.0101041666666666,0.0101041666666666,0.0101041666666666,0,0,0.004,0.004,0.004,0,0,0.0304025423728813,0.0304025423728813,0.0035593220338983,0.0035593220338983,7.954108319373971,7.954108319373971,2.083333333333451e-05,2.083333333333451e-05,660060.7199999914,660060.7199999914
ar,1,ar_000,0.0452083333333333,0.0452083333333333,0.0452083333333333,0,0,0.9158125,0.9158125,0.9158125,1,1,0.3328389830508474,0.3328389830508474,0.5283686440677966,0.5283686440677966,28.78841998803788,28.78841998803788,0.0025416666666666,0.0025416666666666,0.0,0.0
as,1,as_000,0.0106875,0.0106875,0.0106875,0,0,0.9889375,0.9889375,0.9889375,1,1,0.0323516949152542,0.0323516949152542,0.0370550847457626,0.0370550847457626,106.45965241019088,106.45965241019088,0.0005,0.0005,0.0,0.0
at,1,at_000,0.0106875,0.0106875,0.0106875,0,0,0.8898541666666666,0.8898541666666666,0.8898541666666666,1,0,0.0323516949152542,0.0323516949152542,0.2197669491525424,0.2197669491525424,58.800910407724245,58.800910407724245,0.0005,0.0005,8101.920000000042,8101.920000000042
au,1,au_000,0.0106875,0.0106875,0.0106875,0,0,0.98825,0.98825,0.98825,1,1,0.0323516949152542,0.0323516949152542,0.0579661016949152,0.0579661016949152,114.22724740527858,114.22724740527858,0.0005,0.0005,0.0,0.0
av,1,av_000,0.0413958333333333,0.0413958333333333,0.0413958333333333,0,0,0.1655625,0.1655625,0.1655625,0,0,0.2998516949152542,0.2998516949152542,0.0172245762711864,0.0172245762711864,49.717820615468575,49.717820615468575,0.0016041666666666,0.0016041666666666,2273.820000000109,2273.820000000109
ax,1,ax_000,0.0414166666666666,0.0414166666666666,0.0414166666666666,0,0,0.1693333333333333,0.1693333333333333,0.1693333333333333,0,0,0.2998305084745762,0.2998305084745762,0.0159322033898305,0.0159322033898305,22.76512078521224,22.76512078521224,0.0015833333333333,0.0015833333333333,19.339999999996508,19.339999999996508
bb,1,bb_000,0.010875,0.010875,0.010875,0,0,0.0019166666666666,0.0019166666666666,0.0019166666666666,0,0,0.0321610169491525,0.0321610169491525,0.0044067796610169,0.0044067796610169,5.946427603123681,5.946427603123681,6.250000000000006e-05,6.250000000000006e-05,5353198.879999712,5353198.879999712
bc,1,bc_000,0.0452291666666666,0.0452291666666666,0.0452291666666666,0,0,0.3209375,0.3209375,0.3209375,0,0,0.3328177966101694,0.3328177966101694,0.2628177966101695,0.2628177966101695,45.29559611637335,45.29559611637335,0.0025208333333333,0.0025208333333333,177.49999999995998,177.49999999995998
bd,1,bd_000,0.04525,0.04525,0.04525,0,0,0.0668125,0.0668125,0.0668125,0,0,0.3327966101694915,0.3327966101694915,0.039978813559322,0.039978813559322,23.900236472380488,23.900236472380488,0.0025,0.0025,801.3999999999032,801.3999999999032
be,1,be_000,0.0413958333333333,0.0413958333333333,0.0413958333333333,0,0,0.1161458333333333,0.1161458333333333,0.1161458333333333,0,0,0.2998516949152542,0.2998516949152542,0.0888771186440678,0.0888771186440678,40.351920207154045,40.351920207154045,0.0017291666666666,0.0017291666666666,558.6600000000108,558.6600000000108
bf,1,bf_000,0.041375,0.041375,0.041375,0,0,0.4213958333333333,0.4213958333333333,0.4213958333333333,0,0,0.2998728813559322,0.2998728813559322,0.2658262711864406,0.2658262711864406,36.04514874584972,36.04514874584972,0.0016874999999999,0.0016874999999999,158.4599999999882,158.4599999999882
bg,1,bg_000,0.0108125,0.0108125,0.0108125,0,0,0.0023958333333333,0.0023958333333333,0.0023958333333333,0,0,0.0322245762711864,0.0322245762711864,0.0039194915254237,0.0039194915254237,5.6065771988337385,5.6065771988337385,0.0002499999999999,0.0002499999999999,2325307.200000048,2325307.200000048
bh,1,bh_000,0.0108125,0.0108125,0.0108125,0,0,0.0023125,0.0023125,0.0023125,0,0,0.0322245762711864,0.0322245762711864,0.0040042372881355,0.0040042372881355,6.849688902587179,6.849688902587179,0.0002499999999999,0.0002499999999999,91035.80000000226,91035.80000000226
bi,1,bi_000,0.0101041666666666,0.0101041666666666,0.0101041666666666,0,0,0.0020625,0.0020625,0.0020625,0,0,0.0304025423728813,0.0304025423728813,0.0042584745762711,0.0042584745762711,9.348456614809828,9.348456614809828,2.083333333333451e-05,2.083333333333451e-05,317115.159999934,317115.159999934
bj,1,bj_000,0.0101041666666666,0.0101041666666666,0.0101041666666666,0,0,0.0024791666666666,0.0024791666666666,0.0024791666666666,0,0,0.0304025423728813,0.0304025423728813,0.0038347457627118,0.0038347457627118,9.756211119575724,9.756211119575724,2.083333333333451e-05,2.083333333333451e-05,1389012.0599999763,1389012.0599999763
bk,1,bk_000,0.3842708333333333,0.3842708333333333,0.3842708333333333,0,0,0.008625,0.008625,0.008625,0,0,0.3234110169491525,0.3234110169491525,0.0087711864406779,0.0087711864406779,3.209742288668446,3.209742288668446,0.0033958333333333,0.0033958333333333,0.0,0.0
bl,1,bl_000,0.4551041666666666,0.4551041666666666,0.4551041666666666,0,0,0.0173333333333333,0.0173333333333333,0.0173333333333333,0,0,0.3916313559322034,0.3916313559322034,0.0176271186440677,0.0176271186440677,2.4871667302150278,2.4871667302150278,0.0034791666666666,0.0034791666666666,0.0,0.0
bm,1,bm_000,0.661375,0.661375,0.661375,1,0,0.0206875,0.0206875,0.0206875,0,0,0.5975847457627119,0.5975847457627119,0.0210381355932203,0.0210381355932203,1.609118987237818,1.609118987237818,0.00225,0.00225,0.0,0.0
bn,1,bn_000,0.7354375,0.7354375,0.7354375,1,0,0.0240208333333333,0.0240208333333333,0.0240208333333333,0,0,0.6703601694915254,0.6703601694915254,0.0244279661016949,0.0244279661016949,1.1426777017951728,1.1426777017951728,0.003375,0.003375,0.0,0.0
bo,1,bo_000,0.773875,0.773875,0.773875,1,0,0.025375,0.025375,0.025375,0,0,0.706906779661017,0.706906779661017,0.0245338983050847,0.0245338983050847,0.8643112342608666,0.8643112342608666,0.000375,0.000375,0.0,0.0
bp,1,bp_000,0.79675,0.79675,0.79675,1,0,0.0273125,0.0273125,0.0273125,0,0,0.7250847457627119,0.7250847457627119,0.0239618644067796,0.0239618644067796,0.6720288362037826,0.6720288362037826,0.0016874999999999,0.0016874999999999,0.0,0.0
bq,1,bq_000,0.8130208333333333,0.8130208333333333,0.8130208333333333,1,1,0.0294375,0.0294375,0.0294375,0,0,0.7365466101694915,0.7365466101694915,0.0248516949152542,0.0248516949152542,0.5211966215559031,0.5211966215559031,0.0017083333333333,0.0017083333333333,0.0,0.0
br,1,br_000,0.821625,0.821625,0.821625,1,1,0.030625,0.030625,0.030625,0,0,0.7414830508474576,0.7414830508474576,0.0260593220338983,0.0260593220338983,0.4228517323437621,0.4228517323437621,0.0010625,0.0010625,0.0,0.0
bs,1,bs_000,0.0121666666666666,0.0121666666666666,0.0121666666666666,0,0,0.0021458333333333,0.0021458333333333,0.0021458333333333,0,0,0.0346610169491525,0.0346610169491525,0.0041737288135593,0.0041737288135593,2.0425003905471835,2.0425003905471835,0.0004583333333333,0.0004583333333333,11251.000000000931,11251.000000000931
bt,1,bt_000,0.0026458333333333,0.0026458333333333,0.0026458333333333,0,0,0.0023125,0.0023125,0.0023125,0,0,0.0100211864406779,0.0100211864406779,0.0023516949152542,0.0023516949152542,6.171015168874105,6.171015168874105,0.0008958333333333,0.0008958333333333,98162.15650000062,98162.15650000062
bu,1,bu_000,0.0115625,0.0115625,0.0115625,0,0,0.0019166666666666,0.0019166666666666,0.0019166666666666,0,0,0.0314618644067796,0.0314618644067796,0.0044067796610169,0.0044067796610169,5.953248733802761,5.953248733802761,0.0003125,0.0003125,5399166.699999988,5399166.699999988
bv,1,bv_000,0.0115625,0.0115625,0.0115625,0,0,0.0019166666666666,0.0019166666666666,0.0019166666666666,0,0,0.0314618644067796,0.0314618644067796,0.0044067796610169,0.0044067796610169,5.953248220477111,5.953248220477111,0.0003125,0.0003125,5399166.699999988,5399166.699999988
bx,1,bx_000,0.0543125,0.0543125,0.0543125,0,0,0.0,0.0,0.0,0,0,0.0259957627118644,0.0259957627118644,0.0,0.0,6.371602074610056,6.371602074610056,0.0001875,0.0001875,2119605.1999999657,2119605.1999999657
by,1,by_000,0.0077708333333333,0.0077708333333333,0.0077708333333333,0,0,0.0201041666666666,0.0201041666666666,0.0201041666666666,0,0,0.0066313559322033,0.0066313559322033,0.0240466101694915,0.0240466101694915,6.988278567348657,6.988278567348657,0.0010833333333333,0.0010833333333333,28299.440000000468,28299.440000000468
bz,1,bz_000,0.0452083333333333,0.0452083333333333,0.0452083333333333,0,0,0.2308958333333333,0.2308958333333333,0.2308958333333333,0,0,0.3328389830508474,0.3328389830508474,0.1941313559322033,0.1941313559322033,19.72420420232097,19.72420420232097,0.0024791666666666,0.0024791666666666,150983.7599999886,150983.7599999886
ca,1,ca_000,0.0725416666666666,0.0725416666666666,0.0725416666666666,0,0,0.0019583333333333,0.0019583333333333,0.0019583333333333,0,0,0.4575847457627118,0.4575847457627118,0.004364406779661,0.004364406779661,0.7218153930724435,0.7218153930724435,0.0028333333333333,0.0028333333333333,1.1000000000058208,1.1000000000058208
cb,1,cb_000,0.0121666666666666,0.0121666666666666,0.0121666666666666,0,0,0.0019583333333333,0.0019583333333333,0.0019583333333333,0,0,0.0346610169491525,0.0346610169491525,0.004364406779661,0.004364406779661,0.663676184108073,0.663676184108073,0.0004583333333333,0.0004583333333333,2031.40000000014,2031.40000000014
cc,1,cc_000,0.0542708333333333,0.0542708333333333,0.0542708333333333,0,0,0.0143333333333333,0.0143333333333333,0.0143333333333333,0,0,0.0259533898305084,0.0259533898305084,0.0222881355932203,0.0222881355932203,6.379517459694839,6.379517459694839,0.0002083333333333,0.0002083333333333,3945684.520000175,3945684.520000175
cd,1,cd_000,0.0113541666666666,0.0113541666666666,0.0113541666666666,0,0,0.0,0.0,0.0,0,0,0.0329449152542372,0.0329449152542372,0.0,0.0,0.0,0.0,0.0002083333333333,0.0002083333333333,0.0,0.0
ce,1,ce_000,0.0414375,0.0414375,0.0414375,0,0,0.1966041666666666,0.1966041666666666,0.1966041666666666,0,0,0.2998093220338983,0.2998093220338983,0.1293008474576271,0.1293008474576271,8.288403637061782,8.288403637061782,0.0015624999999999,0.0015624999999999,31166.09999999148,31166.09999999148
cf,1,cf_000,0.2472916666666666,0.2472916666666666,0.2472916666666666,0,0,0.3580625,0.3580625,0.3580625,0,0,0.4044491525423729,0.4044491525423729,0.151843220338983,0.151843220338983,190.07893055226555,190.07893055226555,0.0015208333333333,0.0015208333333333,23.44000000000233,23.44000000000233
cg,1,cg_000,0.2472916666666666,0.2472916666666666,0.2472916666666666,0,0,0.0486666666666666,0.0486666666666666,0.0486666666666666,0,0,0.4044491525423729,0.4044491525423729,0.0164406779661016,0.0164406779661016,29.818604824826117,29.818604824826117,0.0015208333333333,0.0015208333333333,68.0,68.0
ch,1,ch_000,0.2472916666666666,0.2472916666666666,0.2472916666666666,0,0,0.7525416666666667,0.7525416666666667,0.7525416666666667,1,0,0.4044491525423729,0.4044491525423729,0.4055508474576271,0.4055508474576271,67.18351732419912,67.18351732419912,0.0015208333333333,0.0015208333333333,0.0,0.0
ci,1,ci_000,0.0059791666666666,0.0059791666666666,0.0059791666666666,0,0,0.0037083333333333,0.0037083333333333,0.0037083333333333,0,0,0.0053601694915254,0.0053601694915254,0.0037711864406779,0.0037711864406779,5.886034994905268,5.886034994905268,0.0006041666666666,0.0006041666666666,3474031.81440036,3474031.81440036
cj,1,cj_000,0.0059791666666666,0.0059791666666666,0.0059791666666666,0,0,0.7849583333333333,0.7849583333333333,0.7849583333333333,1,0,0.0053601694915254,0.0053601694915254,0.1575847457627118,0.1575847457627118,21.61293048258332,21.61293048258332,0.0006041666666666,0.0006041666666666,100529.42399999406,100529.42399999406
ck,1,ck_000,0.0059791666666666,0.0059791666666666,0.0059791666666666,0,0,0.0032083333333333,0.0032083333333333,0.0032083333333333,0,0,0.0053601694915254,0.0053601694915254,0.0032627118644067,0.0032627118644067,8.862473110319005,8.862473110319005,0.0006041666666666,0.0006041666666666,419429.25120007806,419429.25120007806
cl,1,cl_000,0.15875,0.15875,0.15875,0,0,0.6145416666666667,0.6145416666666667,0.6145416666666667,1,0,0.0762711864406779,0.0762711864406779,0.366906779661017,0.366906779661017,19.385946351273724,19.385946351273724,0.0050624999999999,0.0050624999999999,3769.140000000134,3769.140000000134
cm,1,cm_000,0.1644166666666666,0.1644166666666666,0.1644166666666666,0,0,0.4034375,0.4034375,0.4034375,0,0,0.1378813559322033,0.1378813559322033,0.1712923728813559,0.1712923728813559,16.148171824565207,16.148171824565207,0.0032916666666666,0.0032916666666666,68.71999999995751,68.71999999995751
co,1,co_000,0.2472916666666666,0.2472916666666666,0.2472916666666666,0,0,0.2138125,0.2138125,0.2138125,0,0,0.4044491525423729,0.4044491525423729,0.1767584745762711,0.1767584745762711,190.07892933342728,190.07892933342728,0.0015208333333333,0.0015208333333333,457.09999999999127,457.09999999999127
cp,1,cp_000,0.0452083333333333,0.0452083333333333,0.0452083333333333,0,0,0.1577083333333333,0.1577083333333333,0.1577083333333333,0,0,0.3328389830508474,0.3328389830508474,0.0811440677966101,0.0811440677966101,38.471453649769295,38.471453649769295,0.0024791666666666,0.0024791666666666,627.4999999999854,627.4999999999854
cq,1,cq_000,0.0115625,0.0115625,0.0115625,0,0,0.0019166666666666,0.0019166666666666,0.0019166666666666,0,0,0.0314618644067796,0.0314618644067796,0.0044067796610169,0.0044067796610169,5.953248370556986,5.953248370556986,0.0003125,0.0003125,5399166.699999988,5399166.699999988
cr,1,cr_000,0.7714791666666667,0.7714791666666667,0.7714791666666667,1,0,0.2272916666666666,0.2272916666666666,0.2272916666666666,0,0,0.0040466101694915,0.0040466101694915,0.0048728813559321,0.0048728813559321,38.705208255662654,38.705208255662654,0.0012083333333332,0.0012083333333332,0.0,0.0
ct,1,ct_000,0.2296041666666666,0.2296041666666666,0.2296041666666666,0,0,0.0364791666666666,0.0364791666666666,0.0364791666666666,0,0,0.3054872881355932,0.3054872881355932,0.0002330508474576,0.0002330508474576,104.87065244924035,104.87065244924035,0.0027708333333333,0.0027708333333333,398.2799999999843,398.2799999999843
cu,1,cu_000,0.2296041666666666,0.2296041666666666,0.2296041666666666,0,0,0.0362291666666666,0.0362291666666666,0.0362291666666666,0,0,0.3054872881355932,0.3054872881355932,0.0051059322033898,0.0051059322033898,43.29908570940176,43.29908570940176,0.0027708333333333,0.0027708333333333,540.7800000000389,540.7800000000389
cv,1,cv_000,0.2296041666666666,0.2296041666666666,0.2296041666666666,0,0,0.0169375,0.0169375,0.0169375,0,0,0.3054872881355932,0.3054872881355932,0.0158262711864406,0.0158262711864406,7.1037810194181965,7.1037810194181965,0.0027708333333333,0.0027708333333333,775160.1199999917,775160.1199999917
cx,1,cx_000,0.2296041666666666,0.2296041666666666,0.2296041666666666,0,0,0.0274791666666666,0.0274791666666666,0.0274791666666666,0,0,0.3054872881355932,0.3054872881355932,0.0101906779661016,0.0101906779661016,11.223639686652696,11.223639686652696,0.0027708333333333,0.0027708333333333,86461.40000005998,86461.40000005998
cy,1,cy_000,0.2296041666666666,0.2296041666666666,0.2296041666666666,0,0,0.6586041666666667,0.6586041666666667,0.6586041666666667,1,0,0.3054872881355932,0.3054872881355932,0.3913771186440678,0.3913771186440678,63.53950982377972,63.53950982377972,0.0027708333333333,0.0027708333333333,364.940000000006,364.940000000006
cz,1,cz_000,0.2296041666666666,0.2296041666666666,0.2296041666666666,0,0,0.1528125,0.1528125,0.1528125,0,0,0.3054872881355932,0.3054872881355932,0.0981991525423728,0.0981991525423728,52.91311711268808,52.91311711268808,0.0027708333333333,0.0027708333333333,19929.55999999927,19929.55999999927
da,1,da_000,0.2296041666666666,0.2296041666666666,0.2296041666666666,0,0,0.761125,0.761125,0.761125,1,0,0.3054872881355932,0.3054872881355932,0.3024152542372881,0.3024152542372881,60.82283501493471,60.82283501493471,0.0027708333333333,0.0027708333333333,28.919999999998254,28.919999999998254
db,1,db_000,0.2296041666666666,0.2296041666666666,0.2296041666666666,0,0,0.4619375,0.4619375,0.4619375,0,0,0.3054872881355932,0.3054872881355932,0.0083262711864406,0.0083262711864406,82.65549403420879,82.65549403420879,0.0027708333333333,0.0027708333333333,2.380000000001018,2.380000000001018
dc,1,dc_000,0.2296041666666666,0.2296041666666666,0.2296041666666666,0,0,0.0169375,0.0169375,0.0169375,0,0,0.3054872881355932,0.3054872881355932,0.0158262711864406,0.0158262711864406,7.31603559368608,7.31603559368608,0.0027708333333333,0.0027708333333333,321618.75999997184,321618.75999997184
dd,1,dd_000,0.0414375,0.0414375,0.0414375,0,0,0.0143125,0.0143125,0.0143125,0,0,0.2998093220338983,0.2998093220338983,0.0108686440677966,0.0108686440677966,12.53864940843424,12.53864940843424,0.0015624999999999,0.0015624999999999,6347.81999999941,6347.81999999941
de,1,de_000,0.0452291666666666,0.0452291666666666,0.0452291666666666,0,0,0.01425,0.01425,0.01425,0,0,0.3328177966101694,0.3328177966101694,0.0071186440677966,0.0071186440677966,39.74668844885903,39.74668844885903,0.0025208333333333,0.0025208333333333,472.4799999999668,472.4799999999668
df,1,df_000,0.0667708333333333,0.0667708333333333,0.0667708333333333,0,0,0.91575,0.91575,0.91575,1,1,0.4583686440677966,0.4583686440677966,0.4990677966101695,0.4990677966101695,93.484000133168,93.484000133168,0.0016041666666666,0.0016041666666666,40.0,40.0
dg,1,dg_000,0.0667708333333333,0.0667708333333333,0.0667708333333333,0,0,0.9072083333333332,0.9072083333333332,0.9072083333333332,1,1,0.4583686440677966,0.4583686440677966,0.4941949152542373,0.4941949152542373,80.7951703668633,80.7951703668633,0.0016041666666666,0.0016041666666666,3240.7800000001225,3240.7800000001225
dh,1,dh_000,0.06675,0.06675,0.06675,0,0,0.8166041666666667,0.8166041666666667,0.8166041666666667,1,0,0.4583898305084745,0.4583898305084745,0.4719703389830509,0.4719703389830509,181.7330071824609,181.7330071824609,0.001625,0.001625,674.5000000001164,674.5000000001164
di,1,di_000,0.0667291666666666,0.0667291666666666,0.0667291666666666,0,0,0.7608125,0.7608125,0.7608125,1,0,0.4584110169491525,0.4584110169491525,0.439385593220339,0.439385593220339,24.57410138962656,24.57410138962656,0.0016458333333333,0.0016458333333333,102758.9799999994,102758.9799999994
dj,1,dj_000,0.06675,0.06675,0.06675,0,0,0.9301666666666668,0.9301666666666668,0.9301666666666668,1,1,0.4583898305084745,0.4583898305084745,0.4577966101694916,0.4577966101694916,140.82903125350953,140.82903125350953,0.001625,0.001625,0.0,0.0
dk,1,dk_000,0.06675,0.06675,0.06675,0,0,0.928125,0.928125,0.928125,1,1,0.4583898305084745,0.4583898305084745,0.4582627118644067,0.4582627118644067,45.42498437477481,45.42498437477481,0.001625,0.001625,0.0,0.0
dl,1,dl_000,0.06675,0.06675,0.06675,0,0,0.9295208333333334,0.9295208333333334,0.9295208333333334,1,1,0.4583898305084745,0.4583898305084745,0.4545974576271186,0.4545974576271186,50.31047221121017,50.31047221121017,0.001625,0.001625,0.0,0.0
dm,1,dm_000,0.0667708333333333,0.0667708333333333,0.0667708333333333,0,0,0.9289166666666666,0.9289166666666666,0.9289166666666666,1,1,0.4583686440677966,0.4583686440677966,0.4539830508474576,0.4539830508474576,52.32069306841952,52.32069306841952,0.0016041666666666,0.0016041666666666,0.0,0.0
dn,1,dn_000,0.0115625,0.0115625,0.0115625,0,0,0.0019166666666666,0.0019166666666666,0.0019166666666666,0,0,0.0314618644067796,0.0314618644067796,0.0044067796610169,0.0044067796610169,8.695123119876461,8.695123119876461,0.0003125,0.0003125,67920.70000000251,67920.70000000251
do,1,do_000,0.0452083333333333,0.0452083333333333,0.0452083333333333,0,0,0.2214166666666666,0.2214166666666666,0.2214166666666666,0,0,0.3328389830508474,0.3328389830508474,0.1933898305084745,0.1933898305084745,9.218322888010396,9.218322888010396,0.0025416666666666,0.0025416666666666,21453.779999999737,21453.779999999737
